Teff 5777.0 logg 4.44 [Fe/H] 0.0 massStar 1.0 xiT 1.0 HeFe 0.0 CO 0.0 AlfFe 0.0 lineThresh -3.0 voigtThresh -3.0 lambda0 5.88e-05 lambda1 5.92e-05 logGamCol 0.5 logKapFudge 0.0 macroV 1.0 rotV 2.0 rotI 90.0 RV 0.0 nInner 2 nOuter 2 ifTiO 1 sampling fineNarrow band limb darkening curve (LDC) 
cos(theta)     I(mu)/I(0) 
1.0   1.0
0.974   0.9595
0.8994   0.8482
0.786   0.6932
0.6475   0.5282
0.4994   0.3819
0.3558   0.2691
0.2283   0.1897
0.1252   0.134
0.0515   0.0904
0.0098   0.0465

 Discrete fourier cosine transform of LDC 
k (RAD/RAD)     I(k) 
-13.09   -10.8963
-12.8282   -9.1148
-12.5664   -5.6871
-12.3046   -1.5171
-12.0428   2.2479
-11.781   4.5209
-11.5192   4.5759
-11.2574   2.2628
-10.9956   -1.9251
-10.7338   -6.9554
-10.472   -11.5117
-10.2102   -14.3382
-9.9484   -14.5833
-9.6866   -12.0515
-9.4248   -7.2889
-9.163   -1.4736
-8.9012   3.8701
-8.6394   7.266
-8.3776   7.6881
-8.1158   4.8631
-7.854   -0.6118
-7.5922   -7.3784
-7.3304   -13.6379
-7.0686   -17.6074
-6.8068   -18.0018
-6.545   -14.4143
-6.2832   -7.4891
-6.0214   1.1718
-5.7596   9.3599
-5.4978   14.7958
-5.236   15.7231
-4.9742   11.4134
-4.7124   2.4466
-4.4506   -9.3151
-4.1888   -21.0769
-3.927   -29.7138
-3.6652   -32.4971
-3.4034   -27.7743
-3.1416   -15.4356
-2.8798   2.9539
-2.618   24.4048
-2.3562   45.0952
-2.0944   61.1792
-1.8326   69.6338
-1.5708   68.9485
-1.309   59.4972
-1.0472   43.4965
-0.7854   24.5525
-0.5236   6.8902
-0.2618   -5.5651
0.0   -10.0484
0.2618   -5.5651
0.5236   6.8902
0.7854   24.5525
1.0472   43.4965
1.309   59.4972
1.5708   68.9485
1.8326   69.6338
2.0944   61.1792
2.3562   45.0952
2.618   24.4048
2.8798   2.9539
3.1416   -15.4356
3.4034   -27.7743
3.6652   -32.4971
3.927   -29.7138
4.1888   -21.0769
4.4506   -9.3151
4.7124   2.4466
4.9742   11.4134
5.236   15.7231
5.4978   14.7958
5.7596   9.3599
6.0214   1.1718
6.2832   -7.4891
6.545   -14.4143
6.8068   -18.0018
7.0686   -17.6074
7.3304   -13.6379
7.5922   -7.3784
7.854   -0.6118
8.1158   4.8631
8.3776   7.6881
8.6394   7.266
8.9012   3.8701
9.163   -1.4736
9.4248   -7.2889
9.6866   -12.0515
9.9484   -14.5833
10.2102   -14.3382
10.472   -11.5117
10.7338   -6.9554
10.9956   -1.9251
11.2574   2.2628
11.5192   4.5759
11.781   4.5209
12.0428   2.2479
12.3046   -1.5171
12.5664   -5.6871

 Monochromatic continuum linear limb darkening coefficients (LDCs) 
Wavelength (nm)     LDC 
260.0   1.1061
262.4058   1.0923
264.8338   1.0784
267.2842   1.0645
269.7574   1.0508
272.2534   1.0373
274.7726   1.0241
277.315   1.0113
279.881   0.9988
282.4707   0.9867
285.0843   0.9749
287.7222   0.9634
290.3844   0.9523
293.0713   0.9414
295.7831   0.9309
298.5199   0.9206
301.2821   0.9106
304.0698   0.9008
306.8834   0.8911
309.7229   0.8817
312.5888   0.8724
315.4811   0.8633
318.4002   0.8544
321.3463   0.8455
324.3197   0.8368
327.3206   0.8282
330.3493   0.8197
333.406   0.8113
336.4909   0.8029
339.6044   0.7947
342.7468   0.7865
345.9181   0.7784
349.1189   0.7704
352.3492   0.7625
355.6095   0.7546
358.8999   0.7468
362.2208   0.7391
365.5724   0.7314
368.955   0.7238
372.3689   0.7162
375.8143   0.7087
379.2917   0.7013
382.8013   0.6939
386.3433   0.6865
389.9181   0.6792
393.5259   0.6721
397.1672   0.6649
400.8421   0.6579
404.5511   0.6509
408.2943   0.6439
412.0722   0.637
415.8851   0.6302
419.7332   0.6235
423.617   0.6168
427.5366   0.6101
431.4926   0.6036
435.4851   0.5971
439.5146   0.5906
443.5814   0.5843
447.6858   0.578
451.8282   0.5717
456.0089   0.5656
460.2283   0.5594
464.4868   0.5534
468.7846   0.5474
473.1222   0.5415
477.5   0.5357
481.9182   0.5299
486.3774   0.5242
490.8778   0.5185
495.4198   0.5129
500.0038   0.5072
504.6303   0.5018
509.2996   0.4964
514.0121   0.4911
518.7682   0.4858
523.5683   0.4806
528.4128   0.4754
533.3022   0.4704
538.2368   0.4652
543.217   0.4603
548.2433   0.4554
553.3162   0.4506
558.4359   0.4459
563.6031   0.4412
568.818   0.4366
574.0812   0.432
579.3931   0.4276
579.5177   0.4231
579.7636   0.4188
581.7449   0.4145
581.8772   0.4102
582.1247   0.406
582.4673   0.4019
582.6509   0.3979
582.738   0.3939
582.8441   0.3899
583.2732   0.3861
583.3209   0.3823
