Teff 5777.0 logg 4.44 [Fe/H] 0.0 massStar 1.0 xiT 1.0 HeFe 0.0 CO 0.0 AlfFe 0.0 lineThresh -3.0 voigtThresh -3.0 lambda0 5.88e-05 lambda1 5.92e-05 logGamCol 0.5 logKapFudge 0.0 macroV 1.0 rotV 2.0 rotI 90.0 RV 0.0 nInner 2 nOuter 2 ifTiO 1 sampling fine
Number of lines treated with Voigt profiles: 26
Number of wavelength points: 527
wave (nm)     normalized flux 
588.0004   0.9996
588.0135   0.9996
588.0257   0.9996
588.0532   0.9996
588.0591   0.9995
588.0729   0.9988
588.0809   0.9994
588.0927   0.9966
588.0955   0.9961
588.1   0.9932
588.1032   0.9869
588.106   0.9743
588.1079   0.9604
588.1104   0.9419
588.1117   0.9375
588.1145   0.9494
588.1163   0.9655
588.1182   0.9795
588.1197   0.986
588.123   0.9914
588.1266   0.995
588.1279   0.9954
588.13   0.9958
588.1334   0.9967
588.1369   0.9978
588.1403   0.9979
588.1418   0.9978
588.1437   0.9975
588.1496   0.9973
588.1534   0.9984
588.1576   0.999
588.1673   0.9981
588.1702   0.9971
588.1729   0.9964
588.178   0.9948
588.181   0.992
588.184   0.9816
588.187   0.9607
588.1899   0.9448
588.1929   0.955
588.1959   0.978
588.1989   0.9898
588.2009   0.9921
588.2043   0.9961
588.2069   0.9976
588.2223   0.9981
588.2515   0.9993
588.2573   0.9993
588.2649   0.9993
588.2957   0.9992
588.307   0.9992
588.3234   0.9992
588.3329   0.9992
588.3397   0.9991
588.377   0.999
588.379   0.999
588.3815   0.999
588.3866   0.999
588.3945   0.999
588.4125   0.9989
588.4333   0.9989
588.443   0.9988
588.4464   0.9988
588.4577   0.9988
588.4737   0.9985
588.4767   0.9985
588.4861   0.9983
588.4881   0.9983
588.4929   0.9978
588.4944   0.9975
588.4956   0.9966
588.4984   0.9935
588.5003   0.9905
588.5037   0.9879
588.5068   0.99
588.5096   0.9936
588.5124   0.9942
588.5139   0.9935
588.5151   0.9928
588.5174   0.9922
588.5199   0.9903
588.5243   0.9825
588.5277   0.976
588.5334   0.9587
588.5362   0.9224
588.539   0.838
588.5419   0.7241
588.5447   0.6653
588.5475   0.705
588.5504   0.8094
588.5532   0.9053
588.556   0.9509
588.5609   0.9784
588.5755   0.9891
588.585   0.9921
588.6019   0.9979
588.6033   0.9979
588.6133   0.9979
588.618   0.9978
588.6312   0.9971
588.6452   0.9974
588.649   0.9973
588.6561   0.997
588.6949   0.9946
588.6964   0.9945
588.7123   0.9903
588.7293   0.9912
588.7543   0.9946
588.7565   0.9948
588.7707   0.9947
588.793   0.9954
588.8154   0.9953
588.8404   0.9949
588.8657   0.9944
588.877   0.994
588.9001   0.9927
588.9122   0.9919
588.9357   0.99
588.9476   0.9889
588.9578   0.9878
588.9789   0.9852
588.9839   0.9846
588.9951   0.983
588.9989   0.9823
589.0017   0.9818
589.0035   0.9812
589.0084   0.9761
589.0437   0.963
589.0532   0.9581
589.0581   0.9552
589.0629   0.9516
589.0774   0.937
589.0855   0.9217
589.0944   0.9004
589.0966   0.8942
589.0995   0.8855
589.1024   0.8761
589.1047   0.8675
589.1098   0.8464
589.1144   0.8269
589.1158   0.8197
589.1202   0.7924
589.1237   0.767
589.1253   0.7544
589.1271   0.7405
589.1293   0.7226
589.1305   0.7122
589.134   0.6796
589.1356   0.663
589.1374   0.6421
589.1409   0.5955
589.1427   0.5635
589.1443   0.5257
589.146   0.4779
589.1477   0.4196
589.1505   0.3303
589.1536   0.2594
589.1573   0.2237
589.1604   0.2226
589.1621   0.236
589.1634   0.2522
589.1662   0.3106
589.1695   0.4164
589.1711   0.4692
589.1725   0.5127
589.174   0.5486
589.1756   0.5805
589.1807   0.6504
589.1961   0.7685
589.1988   0.7892
589.2008   0.8039
589.2036   0.818
589.2051   0.8209
589.2064   0.8212
589.2092   0.8131
589.212   0.8087
589.2148   0.8272
589.2176   0.8589
589.2204   0.8797
589.2216   0.8855
589.2232   0.8907
589.2264   0.9023
589.2279   0.9069
589.2392   0.9313
589.2416   0.9345
589.2574   0.95
589.268   0.9569
589.2696   0.9575
589.2831   0.9612
589.2851   0.962
589.3061   0.9709
589.3089   0.9706
589.3109   0.9709
589.3122   0.9711
589.3178   0.9722
589.3216   0.9733
589.3355   0.9795
589.3407   0.9812
589.3444   0.9821
589.3495   0.983
589.3547   0.9839
589.3598   0.9845
589.365   0.9849
589.3702   0.9858
589.3753   0.9867
589.3805   0.9873
589.3856   0.988
589.391   0.9887
589.3928   0.9888
589.3945   0.989
589.3991   0.9891
589.4201   0.9893
589.4345   0.9668
589.4379   0.9606
589.4393   0.9524
589.4421   0.9165
589.4449   0.8312
589.4477   0.7126
589.4505   0.6493
