Teff 5777.0 logg 4.44 [Fe/H] 0.0 massStar 1.0 xiT 1.0 HeFe 0.0 CO 0.0 AlfFe 0.0 lineThresh -3.0 voigtThresh -3.0 lambda0 5.88e-05 lambda1 5.92e-05 logGamCol 0.5 logKapFudge 0.0 macroV 1.0 rotV 2.0 rotI 90.0 RV 0.0 nInner 2 nOuter 2 ifTiO 1 sampling fine
cgs units, unless otherwise noted
logTauRos   depth   temp   logPgas   logPe  logPRad   logNe   logNH   logRho   mu(amu)   logKapRos   logKap500
-6.0   0.0   3641.9776   -1.0163   -4.0023   -0.3529   8.2963   12.2463   -11.398   1.2574   -3.7313   -3.2325
-5.8298   0.0   3685.1924   1.5049   -2.6018   -0.3324   9.6917   13.7409   -9.9034   1.2575   -3.1422   -2.8165
-5.6596   52.3269   3731.9464   1.7324   -2.3857   -0.3105   9.9023   13.9637   -9.6806   1.2575   -2.9904   -2.6829
-5.4894   88.1265   3779.7994   1.8919   -2.2264   -0.2884   10.0561   14.1198   -9.5245   1.2575   -2.868   -2.5785
-5.3191   117.2779   3827.9322   2.0223   -2.0917   -0.2664   10.1853   14.2473   -9.3971   1.2575   -2.7593   -2.4876
-5.1489   142.9644   3875.8682   2.1372   -1.9706   -0.2448   10.301   14.3594   -9.2849   1.2575   -2.6588   -2.4042
-4.9787   166.6313   3923.3599   2.243   -1.858   -0.2236   10.4083   14.4625   -9.1818   1.2575   -2.5636   -2.3254
-4.8085   189.056   3970.1739   2.343   -1.7511   -0.203   10.5101   14.56   -9.0844   1.2575   -2.4723   -2.2495
-4.6383   210.701   4016.3593   2.4393   -1.6481   -0.1829   10.608   14.6537   -8.9906   1.2575   -2.3837   -2.1755
-4.4681   231.8574   4062.0619   2.5332   -1.5479   -0.1633   10.7032   14.745   -8.8993   1.2574   -2.2971   -2.1025
-4.2979   252.7163   4107.4236   2.6255   -1.4497   -0.144   10.7966   14.8347   -8.8096   1.2574   -2.212   -2.0302
-4.1277   273.4093   4152.6126   2.7167   -1.353   -0.125   10.8886   14.9233   -8.7211   1.2574   -2.128   -1.9582
-3.9574   294.0289   4197.681   2.8073   -1.2574   -0.1062   10.9795   15.0111   -8.6333   1.2574   -2.0449   -1.8864
-3.7872   314.6422   4242.5336   2.8975   -1.1626   -0.0878   11.0697   15.0984   -8.546   1.2574   -1.9625   -1.8144
-3.617   335.2988   4286.9996   2.9874   -1.0685   -0.0697   11.1593   15.1854   -8.4589   1.2574   -1.8806   -1.7423
-3.4468   356.0356   4330.9674   3.0773   -0.9751   -0.0519   11.2483   15.2723   -8.3721   1.2574   -1.7993   -1.67
-3.2766   376.8804   4374.3142   3.1671   -0.8822   -0.0346   11.3368   15.3591   -8.2853   1.2574   -1.7184   -1.5973
-3.1064   397.8545   4417.0222   3.257   -0.7898   -0.0178   11.425   15.4458   -8.1985   1.2574   -1.6378   -1.5243
-2.9362   418.9749   4459.276   3.347   -0.6978   -0.0012   11.5128   15.5326   -8.1117   1.2574   -1.5575   -1.4509
-2.766   440.256   4501.2505   3.437   -0.6061   0.0151   11.6004   15.6194   -8.0249   1.2574   -1.4775   -1.3773
-2.5957   461.7111   4543.2637   3.5272   -0.5146   0.0312   11.6879   15.7062   -7.9382   1.2574   -1.3977   -1.3035
-2.4255   483.3528   4585.6962   3.6175   -0.4232   0.0474   11.7753   15.7929   -7.8514   1.2574   -1.3181   -1.2294
-2.2553   505.194   4629.0817   3.7079   -0.3317   0.0637   11.8627   15.8795   -7.7648   1.2574   -1.2386   -1.1552
-2.0851   527.2483   4674.4393   3.7984   -0.2397   0.0806   11.9504   15.966   -7.6783   1.2574   -1.1592   -1.0808
-1.9149   549.5303   4722.2326   3.889   -0.1473   0.0983   12.0385   16.0522   -7.5921   1.2574   -1.0798   -1.0063
