Teff 5777.0 logg 4.44 [Fe/H] 0.0 massStar 1.0 xiT 1.0 HeFe 0.0 CO 0.0 AlfFe 0.0 lineThresh -3.0 voigtThresh -3.0 lambda0 5.88e-05 lambda1 5.92e-05 logGamCol 0.5 logKapFudge 0.0 macroV 1.0 rotV 2.0 rotI 90.0 RV 0.0 nInner 2 nOuter 2 ifTiO 1 sampling fineNarrow band limb darkening curve (LDC) 
cos(theta)     I(mu)/I(0) 
1.0   1.0
0.974   0.9594
0.8994   0.8479
0.786   0.6924
0.6475   0.5272
0.4994   0.3809
0.3558   0.2681
0.2283   0.1889
0.1252   0.1335
0.0515   0.0901
0.0098   0.0463

 Discrete fourier cosine transform of LDC 
k (RAD/RAD)     I(k) 
-13.09   -10.8824
-12.8282   -9.1037
-12.5664   -5.6816
-12.3046   -1.5185
-12.0428   2.24
-11.781   4.509
-11.5192   4.5637
-11.2574   2.2541
-10.9956   -1.9273
-10.7338   -6.9498
-10.472   -11.4992
-10.2102   -14.3217
-9.9484   -14.5673
-9.6866   -12.0406
-9.4248   -7.2868
-9.163   -1.482
-8.9012   3.8521
-8.6394   7.2419
-8.3776   7.6631
-8.1158   4.8431
-7.854   -0.622
-7.5922   -7.3765
-7.3304   -13.6243
-7.0686   -17.5856
-6.8068   -17.9776
-6.545   -14.3943
-6.2832   -7.4785
-6.0214   1.1702
-5.7596   9.347
-5.4978   14.7764
-5.236   15.7049
-4.9742   11.4051
-4.7124   2.4561
-4.4506   -9.2832
-4.1888   -21.0228
-3.927   -29.6428
-3.6652   -32.4195
-3.4034   -27.7029
-3.1416   -15.3836
-2.8798   2.976
-2.618   24.3916
-2.3562   45.0476
-2.0944   61.1048
-1.8326   69.5452
-1.5708   68.861
-1.309   59.4255
-1.0472   43.4515
-0.7854   24.5393
-0.5236   6.9065
-0.2618   -5.5278
0.0   -10.0037
0.2618   -5.5278
0.5236   6.9065
0.7854   24.5393
1.0472   43.4515
1.309   59.4255
1.5708   68.861
1.8326   69.5452
2.0944   61.1048
2.3562   45.0476
2.618   24.3916
2.8798   2.976
3.1416   -15.3836
3.4034   -27.7029
3.6652   -32.4195
3.927   -29.6428
4.1888   -21.0228
4.4506   -9.2832
4.7124   2.4561
4.9742   11.4051
5.236   15.7049
5.4978   14.7764
5.7596   9.347
6.0214   1.1702
6.2832   -7.4785
6.545   -14.3943
6.8068   -17.9776
7.0686   -17.5856
7.3304   -13.6243
7.5922   -7.3765
7.854   -0.622
8.1158   4.8431
8.3776   7.6631
8.6394   7.2419
8.9012   3.8521
9.163   -1.482
9.4248   -7.2868
9.6866   -12.0406
9.9484   -14.5673
10.2102   -14.3217
10.472   -11.4992
10.7338   -6.9498
10.9956   -1.9273
11.2574   2.2541
11.5192   4.5637
11.781   4.509
12.0428   2.24
12.3046   -1.5185
12.5664   -5.6816

 Monochromatic continuum linear limb darkening coefficients (LDCs) 
Wavelength (nm)     LDC 
260.0   1.1079
262.4058   1.0941
264.8338   1.0801
267.2842   1.0662
269.7574   1.0524
272.2534   1.0389
274.7726   1.0256
277.315   1.0127
279.881   1.0002
282.4707   0.988
285.0843   0.9762
287.7222   0.9647
290.3844   0.9534
293.0713   0.9426
295.7831   0.932
298.5199   0.9217
301.2821   0.9116
304.0698   0.9017
306.8834   0.892
309.7229   0.8826
312.5888   0.8732
315.4811   0.8641
318.4002   0.8551
321.3463   0.8462
324.3197   0.8374
327.3206   0.8288
330.3493   0.8203
333.406   0.8118
336.4909   0.8034
339.6044   0.7952
342.7468   0.787
345.9181   0.7789
349.1189   0.7708
352.3492   0.7629
355.6095   0.755
358.8999   0.7471
362.2208   0.7394
365.5724   0.7317
368.955   0.724
372.3689   0.7165
375.8143   0.7089
379.2917   0.7015
382.8013   0.6941
386.3433   0.6867
389.9181   0.6794
393.5259   0.6722
397.1672   0.6651
400.8421   0.658
404.5511   0.651
408.2943   0.644
412.0722   0.6371
415.8851   0.6303
419.7332   0.6236
423.617   0.6169
427.5366   0.6102
431.4926   0.6037
435.4851   0.5971
439.5146   0.5907
443.5814   0.5843
447.6858   0.578
451.8282   0.5718
456.0089   0.5656
460.2283   0.5595
464.4868   0.5534
468.7846   0.5474
473.1222   0.5415
477.5   0.5357
481.9182   0.5299
486.3774   0.5242
490.8778   0.5185
495.4198   0.5129
500.0038   0.5072
504.6303   0.5018
509.2996   0.4964
514.0121   0.491
518.7682   0.4858
523.5683   0.4806
528.4128   0.4754
533.3022   0.4704
538.2368   0.4652
543.217   0.4603
548.2433   0.4554
553.3162   0.4506
558.4359   0.4459
563.6031   0.4412
568.818   0.4366
574.0812   0.432
579.3931   0.4275
579.5177   0.4231
579.7636   0.4187
581.7449   0.4144
581.8772   0.4102
582.1247   0.406
582.4673   0.4019
582.6509   0.3978
582.738   0.3938
582.8441   0.3899
583.2732   0.3861
583.3209   0.3822
