Teff 5777.0 logg 4.44 [Fe/H] 0.0 massStar 1.0 xiT 1.0 HeFe 0.0 CO 0.0 AlfFe 0.0 lineThresh -3.0 voigtThresh -3.0 lambda0 5.88e-05 lambda1 5.92e-05 logGamCol 0.5 logKapFudge 0.0 macroV 1.0 rotV 2.0 rotI 90.0 RV 0.0 nInner 2 nOuter 2 ifTiO 1 sampling fineNumber of lines treated with Voigt profiles: 27
Number of wavelength points: 904
wave (nm)    log10(flux) (cgs) 
260.0   14.2798
262.4058   14.3201
264.8338   14.3571
267.2842   14.3909
269.7574   14.4218
272.2534   14.45
274.7726   14.4759
277.315   14.4997
279.881   14.5215
282.4707   14.5415
285.0843   14.56
287.7222   14.577
290.3844   14.5928
293.0713   14.6074
295.7831   14.6209
298.5199   14.6335
301.2821   14.6453
304.0698   14.6563
306.8834   14.6666
309.7229   14.6763
312.5888   14.6853
315.4811   14.6939
318.4002   14.702
321.3463   14.7097
324.3197   14.7169
327.3206   14.7238
330.3493   14.7304
333.406   14.7366
336.4909   14.7425
339.6044   14.7482
342.7468   14.7536
345.9181   14.7588
349.1189   14.7637
352.3492   14.7684
355.6095   14.7729
358.8999   14.7772
362.2208   14.7813
365.5724   14.7852
368.955   14.789
372.3689   14.7925
375.8143   14.7955
379.2917   14.7987
382.8013   14.8017
386.3433   14.8047
389.9181   14.8074
393.5259   14.81
397.1672   14.8125
400.8421   14.8149
404.5511   14.8171
408.2943   14.8192
412.0722   14.8211
415.8851   14.8229
419.7332   14.8246
423.617   14.8262
427.5366   14.8276
431.4926   14.8289
435.4851   14.83
439.5146   14.8311
443.5814   14.832
447.6858   14.8327
451.8282   14.8334
456.0089   14.8339
460.2283   14.8343
464.4868   14.8346
468.7846   14.8347
473.1222   14.8347
477.5   14.8346
481.9182   14.8344
486.3774   14.8341
490.8778   14.8336
495.4198   14.833
500.0038   14.8321
504.6303   14.8313
509.2996   14.8304
514.0121   14.8293
518.7682   14.8281
523.5683   14.8268
528.4128   14.8254
533.3022   14.8238
538.2368   14.8219
543.217   14.8201
548.2433   14.8182
553.3162   14.8163
558.4359   14.8141
563.6031   14.8119
568.818   14.8096
574.0812   14.8071
579.3931   14.8046
579.5177   14.8045
579.7636   14.8044
581.7449   14.8034
581.8772   14.8033
582.1247   14.8032
582.4673   14.803
582.6509   14.8029
582.738   14.8029
582.8441   14.8028
583.2732   14.8026
583.3209   14.8026
583.392   14.8026
583.4966   14.8025
584.0227   14.8022
584.0688   14.8022
584.2525   14.8021
584.3167   14.8021
584.5359   14.802
584.6232   14.8019
584.7542   14.8019
584.7728   14.8019
584.9344   14.8018
585.0149   14.8017
585.1546   14.8017
585.1574   14.8017
585.2446   14.8016
585.2776   14.8016
585.33   14.8016
585.342   14.8016
585.4397   14.8015
585.6084   14.8014
585.7711   14.8013
585.773   14.8013
585.7788   14.8013
585.8661   14.8013
585.8923   14.8013
585.9236   14.8013
586.1838   14.8011
586.2418   14.8011
586.3648   14.801
586.4618   14.801
586.4835   14.801
586.4881   14.801
586.5076   14.801
586.6554   14.8009
586.6587   14.8009
586.7107   14.8009
586.7175   14.8008
586.7477   14.8008
586.9368   14.8007
587.0711   14.8007
587.0874   14.8006
587.1454   14.8006
587.1711   14.8006
587.2019   14.8006
587.2069   14.8006
587.346   14.8005
587.3658   14.8005
587.3848   14.8005
587.5222   14.8004
587.5713   14.8004
587.5853   14.8004
587.5968   14.8003
587.642   14.8003
587.6652   14.8003
587.7091   14.8003
587.72   14.8003
587.7409   14.8003
587.7506   14.8003
587.7666   14.8002
587.7774   14.8002
587.8734   14.8002
587.8829   14.8002
587.8981   14.8002
587.9   14.8002
587.9488   14.8001
587.9674   14.8001
587.9694   14.8001
587.9951   14.8001
588.0004   14.8001
588.0135   14.8001
588.0257   14.8001
588.0532   14.7997
588.0591   14.8
588.0729   14.8
588.0809   14.7997
588.0927   14.7994
588.0955   14.7985
588.1   14.7972
588.1032   14.7952
588.106   14.7909
588.1079   14.7851
588.1104   14.7778
588.1117   14.7762
588.1145   14.7822
588.1163   14.7881
588.1182   14.7934
588.1197   14.7958
588.123   14.7982
588.1266   14.7986
588.1279   14.7985
588.13   14.7983
588.1334   14.799
588.1369   14.7997
588.1403   14.7999
588.1418   14.7999
588.1437   14.7999
588.1496   14.7999
588.1534   14.7996
588.1576   14.7995
588.1673   14.7995
588.1702   14.7994
588.1729   14.7988
588.178   14.7973
588.181   14.7957
588.184   14.7916
588.187   14.7832
588.1899   14.7774
588.1929   14.7834
588.1959   14.7925
588.1989   14.797
588.2009   14.7983
588.2043   14.7993
588.2069   14.7994
588.2223   14.7999
588.2515   14.7999
588.2573   14.7998
588.2616   14.7996
588.2649   14.7993
588.2957   14.7998
588.307   14.7998
588.3234   14.7998
588.3329   14.7998
588.3397   14.7998
588.377   14.7997
588.379   14.7997
588.3815   14.7997
588.3866   14.7997
588.3945   14.7997
588.4125   14.7997
588.4333   14.7996
588.443   14.7996
588.4464   14.7996
588.4527   14.7996
588.4577   14.7996
588.4737   14.7995
588.4767   14.7992
588.4861   14.7973
588.4881   14.7979
588.4929   14.7992
588.4944   14.7992
588.4956   14.799
588.4984   14.7986
588.5003   14.7982
588.5037   14.7972
588.5068   14.7965
588.5096   14.796
588.5124   14.7953
588.5139   14.7946
588.5151   14.7943
588.5174   14.7943
588.5199   14.7949
588.5243   14.7943
588.5277   14.7896
588.5334   14.774
588.5362   14.7564
588.539   14.7129
588.5419   14.6487
588.5447   14.6204
588.5475   14.6525
588.5504   14.7201
588.5531   14.7664
588.556   14.7858
588.5609   14.7951
588.5755   14.7992
588.585   14.7985
588.6019   14.7993
588.6033   14.7993
588.606   14.7993
588.6133   14.7993
588.618   14.7993
588.6312   14.799
588.6337   14.799
588.6452   14.7992
588.6483   14.7992
588.6532   14.7991
588.656   14.7991
588.6589   14.7991
588.6617   14.7989
588.6645   14.7988
588.6674   14.7989
588.6702   14.799
588.673   14.7991
588.6759   14.7991
588.6807   14.7991
588.6949   14.799
588.6964   14.799
588.7123   14.799
588.7231   14.7989
588.7293   14.7989
588.7543   14.7987
588.7565   14.7987
588.7707   14.7986
588.7759   14.7986
588.793   14.7985
588.8154   14.7982
588.8404   14.798
588.8657   14.7975
588.8764   14.7967
588.9001   14.7969
588.9122   14.7967
588.9357   14.7961
588.9476   14.7958
588.9578   14.7954
588.9789   14.7945
588.9839   14.7943
588.9951   14.7937
588.9989   14.7934
589.0017   14.7932
589.0035   14.7931
589.0084   14.7925
589.0437   14.786
589.0532   14.7841
589.0581   14.7829
589.0629   14.7814
589.0675   14.7797
589.0774   14.7749
589.0855   14.7678
589.0944   14.7569
589.0966   14.754
589.0995   14.7502
589.1024   14.7462
589.1047   14.7427
589.1098   14.7344
589.1144   14.7241
589.1158   14.7198
589.1202   14.7033
589.1237   14.6866
589.1253   14.6785
589.1271   14.6693
589.1293   14.6572
589.1305   14.6502
589.134   14.6266
589.1356   14.6138
589.1374   14.5975
589.1409   14.558
589.1427   14.5294
589.1443   14.4934
589.146   14.4447
589.1477   14.3795
589.1505   14.2576
589.1536   14.1446
589.1573   14.0917
589.1604   14.1194
589.1621   14.1604
589.1634   14.2016
589.1662   14.3076
589.1695   14.4437
589.1711   14.4947
589.1725   14.5332
589.174   14.5626
589.1756   14.5863
589.1807   14.6363
589.1961   14.7091
589.1988   14.719
589.2008   14.7254
589.2036   14.7302
589.2051   14.7312
589.2064   14.7303
589.2092   14.7246
589.212   14.7217
589.2148   14.7329
589.2176   14.748
589.2204   14.7574
589.2216   14.7601
589.2232   14.7627
589.2264   14.7668
589.2279   14.7683
589.2392   14.7772
589.2416   14.7783
589.2574   14.7834
589.268   14.7862
589.2696   14.7865
589.2831   14.7888
589.2851   14.7891
589.3061   14.7922
589.3089   14.7926
589.3109   14.7928
589.3122   14.7929
589.3178   14.7933
589.3216   14.7935
589.3355   14.794
589.3407   14.7942
589.3444   14.7943
589.3495   14.7945
589.3547   14.7946
589.3598   14.7947
589.365   14.7948
589.3702   14.795
589.3753   14.7953
589.3805   14.7955
589.3856   14.7943
589.391   14.7936
589.3928   14.794
589.3945   14.7949
589.3991   14.796
589.4201   14.7928
589.4309   14.7907
589.4345   14.7846
589.4379   14.7761
589.4393   14.7704
589.4421   14.7523
589.4449   14.7072
589.4477   14.6387
589.4505   14.6075
589.4533   14.6422
589.4561   14.7145
589.4589   14.7631
589.4617   14.7826
589.4629   14.7869
589.4665   14.7919
589.4717   14.7935
589.4737   14.7945
589.4809   14.7958
589.4872   14.7958
589.4917   14.7955
589.4943   14.7957
589.4969   14.796
589.4995   14.7964
589.5022   14.7965
589.5048   14.7965
589.5074   14.7966
589.51   14.7966
589.5127   14.7966
589.5172   14.7966
589.5307   14.7966
589.5336   14.7965
589.5564   14.7963
589.5603   14.7962
589.5679   14.7961
589.5965   14.7955
589.6018   14.7953
589.6053   14.7951
589.6086   14.7949
589.6228   14.7939
589.6594   14.7895
589.6681   14.7876
589.6748   14.7856
589.6772   14.7844
589.6868   14.7774
589.6972   14.77
589.7132   14.752
589.7148   14.7482
589.7212   14.7274
589.7334   14.6628
589.7401   14.5813
589.7441   14.479
589.748   14.3194
589.7508   14.219
589.7558   14.1586
589.7597   14.225
589.7636   14.3661
589.7676   14.5175
589.7715   14.6145
589.7782   14.6862
589.7984   14.7581
589.8368   14.7871
589.8478   14.7894
589.8695   14.7927
589.8751   14.7933
589.8952   14.795
589.898   14.7952
589.9098   14.7959
589.9369   14.7966
589.9617   14.7971
589.9663   14.7972
589.9754   14.7973
589.9871   14.7975
589.9995   14.7976
590.002   14.7977
590.0311   14.7964
590.0417   14.798
590.0487   14.7981
590.0604   14.7965
590.0637   14.796
590.0701   14.7959
590.0754   14.7931
590.0809   14.785
590.0839   14.7768
590.0869   14.7545
590.0897   14.7153
590.0928   14.6877
590.0958   14.7137
590.0988   14.7587
590.1018   14.7832
590.1048   14.7922
590.1099   14.7962
590.1222   14.7983
590.1253   14.7983
590.1317   14.7979
590.1546   14.7984
590.1649   14.7985
590.1904   14.7985
590.2061   14.7985
590.2102   14.7985
590.2167   14.7985
590.2334   14.7986
590.2434   14.7986
590.2712   14.7986
590.2783   14.7986
590.2803   14.7986
590.2859   14.7986
590.2908   14.7986
590.2936   14.7986
590.2964   14.7985
590.2993   14.7983
590.3021   14.7982
590.305   14.7983
590.3078   14.7985
590.3106   14.7986
590.3128   14.7986
590.3161   14.7987
590.3184   14.7987
590.3233   14.7987
590.3264   14.7987
590.333   14.7987
590.3609   14.7987
590.3776   14.7987
590.383   14.7987
590.3871   14.7987
