Teff 5777.0 logg 4.44 [Fe/H] 0.0 massStar 1.0 xiT 1.0 HeFe 0.0 CO 0.0 AlfFe 0.0 lineThresh -3.0 voigtThresh -3.0 lambda0 5.88e-05 lambda1 5.92e-05 logGamCol 0.5 logKapFudge 0.0 macroV 1.0 rotV 2.0 rotI 90.0 RV 0.0 nInner 2 nOuter 2 ifTiO 1 sampling fine
cgs units, unless otherwise noted
logTauRos   depth   temp   logPgas   logPe  logPRad   logNe   logNH   logRho   mu(amu)   logKapRos   logKap500
-6.0   0.0   3641.9776   -0.0163   -3.0591   -0.3529   9.2395   13.2463   -10.398   1.2574   -3.3656   -3.0219
-5.8298   0.0   3685.1924   1.4834   -2.5678   -0.3324   9.7256   13.7823   -9.862   1.2574   -3.0877   -2.7697
-5.6596   43.8309   3731.9464   1.7117   -2.3747   -0.3105   9.9133   13.9779   -9.6665   1.2575   -2.9562   -2.6533
-5.4894   76.7683   3779.7994   1.8733   -2.2267   -0.2884   10.0557   14.1201   -9.5242   1.2575   -2.8472   -2.5606
-5.3191   105.1385   3827.9322   2.0062   -2.0996   -0.2664   10.1774   14.2381   -9.4063   1.2575   -2.7489   -2.4792
-5.1489   131.2186   3875.8682   2.1238   -1.9845   -0.2448   10.2871   14.3428   -9.3015   1.2575   -2.6572   -2.4039
-4.9787   156.1039   3923.3599   2.2322   -1.8769   -0.2236   10.3894   14.4396   -9.2047   1.2574   -2.5696   -2.3323
-4.8085   180.4059   3970.1739   2.3348   -1.7745   -0.203   10.4866   14.5316   -9.1127   1.2574   -2.485   -2.2628
-4.6383   204.4962   4016.3593   2.4336   -1.6756   -0.1829   10.5805   14.6205   -9.0239   1.2574   -2.4025   -2.1945
-4.4681   228.6089   4062.0619   2.5298   -1.5791   -0.1633   10.6721   14.7074   -8.9369   1.2574   -2.3212   -2.1268
-4.2979   252.8952   4107.4236   2.6243   -1.4843   -0.144   10.762   14.7931   -8.8512   1.2574   -2.2409   -2.0592
-4.1277   277.4553   4152.6126   2.7176   -1.3907   -0.125   10.8509   14.8781   -8.7662   1.2574   -2.1612   -1.9915
-3.9574   302.3547   4197.681   2.8101   -1.2978   -0.1062   10.9391   14.9627   -8.6817   1.2574   -2.0819   -1.9234
-3.7872   327.635   4242.5336   2.902   -1.2056   -0.0878   11.0267   15.047   -8.5973   1.2574   -2.0029   -1.8549
-3.617   353.3194   4286.9996   2.9936   -1.1138   -0.0697   11.114   15.1314   -8.5129   1.2574   -1.9241   -1.7858
-3.4468   379.4169   4330.9674   3.0849   -1.0223   -0.0519   11.201   15.216   -8.4284   1.2574   -1.8453   -1.716
-3.2766   405.9253   4374.3142   3.176   -0.9311   -0.0346   11.2879   15.3007   -8.3436   1.2574   -1.7665   -1.6455
-3.1064   432.8342   4417.0222   3.267   -0.8401   -0.0178   11.3747   15.3858   -8.2585   1.2574   -1.6877   -1.5743
-2.9362   460.128   4459.276   3.3579   -0.7492   -0.0012   11.4614   15.4711   -8.1732   1.2574   -1.6088   -1.5024
-2.766   487.7892   4501.2505   3.4487   -0.6584   0.0151   11.5482   15.5567   -8.0877   1.2574   -1.5298   -1.4298
-2.5957   515.8   4543.2637   3.5395   -0.5675   0.0312   11.6351   15.6425   -8.0018   1.2574   -1.4506   -1.3566
-2.4255   544.1446   4585.6962   3.6303   -0.4764   0.0474   11.7221   15.7285   -7.9159   1.2574   -1.3714   -1.2829
-2.2553   572.8099   4629.0817   3.7211   -0.385   0.0637   11.8094   15.8145   -7.8298   1.2574   -1.2921   -1.2088
-2.0851   601.7876   4674.4393   3.8117   -0.2931   0.0806   11.8971   15.9006   -7.7437   1.2574   -1.2125   -1.1343
-1.9149   631.073   4722.2326   3.9024   -0.2004   0.0983   11.9854   15.9865   -7.6578   1.2574   -1.1328   -1.0595
-1.7447   660.6634   4773.5175   3.9929   -0.1067   0.1171   12.0743   16.0722   -7.5721   1.2574   -1.0528   -0.9842
-1.5745   690.5563   4830.882   4.0833   -0.0113   0.1378   12.1646   16.1574   -7.4869   1.2574   -0.9721   -0.9083
-1.4043   720.7401   4895.1063   4.1735   0.0863   0.1608   12.2564   16.242   -7.4024   1.2574   -0.8905   -0.8313
-1.234   751.1729   4968.3823   4.2632   0.1869   0.1866   12.3506   16.3256   -7.3188   1.2574   -0.807   -0.7525
-1.0638   781.737   5057.327   4.3519   0.2933   0.2174   12.4493   16.4075   -7.2368   1.2574   -0.7193   -0.6695
-0.8936   812.1409   5164.7941   4.4388   0.4085   0.2539   12.5553   16.4872   -7.1571   1.2574   -0.6236   -0.578
-0.7234   841.7546   5296.5595   4.5221   0.5394   0.2977   12.6753   16.5633   -7.081   1.2574   -0.5117   -0.4697
-0.5532   869.3458   5468.2033   4.5987   0.706   0.3531   12.8281   16.6329   -7.0114   1.2573   -0.3665   -0.327
-0.383   893.3065   5686.0219   4.6645   0.9373   0.421   13.0424   16.6932   -6.9512   1.2572   -0.176   -0.1371
-0.2128   912.8446   5964.0024   4.7184   1.2573   0.5039   13.3417   16.7429   -6.9015   1.2569   0.0431   0.0841
-0.0426   929.1458   6297.5894   4.7642   1.5984   0.5984   13.6592   16.7862   -6.8581   1.2566   0.2249   0.2711
0.1277   944.0556   6714.8258   4.8069   1.9146   0.7099   13.9475   16.8234   -6.8209   1.256   0.379   0.4332
0.2979   957.8768   7184.0429   4.8467   2.2307   0.8272   14.2343   16.8526   -6.7918   1.2548   0.5658   0.6298
0.4681   969.3886   7809.2686   4.8789   2.6528   0.9722   14.6201   16.8604   -6.7839   1.251   0.8483   0.9254
0.6383   978.5962   8307.7819   4.9038   2.9854   1.0797   14.9258   16.8649   -6.7795   1.2444   1.0823   1.1697
0.8085   986.9859   8684.0786   4.9258   3.227   1.1566   15.1482   16.8716   -6.7728   1.236   1.2558   1.3511
0.9787   995.4926   8997.2661   4.9476   3.4189   1.2182   15.3247   16.8805   -6.7638   1.226   1.3952   1.4974
1.1489   1004.1457   9274.0506   4.9692   3.6285   1.2708   15.5212   16.8878   -6.7565   1.2087   1.5649   1.6728
1.3191   1013.3704   9531.5307   4.9917   3.7657   1.3184   15.6465   16.8973   -6.747   1.1941   1.6654   1.7791
1.4894   1024.05   9775.6916   5.0171   3.8893   1.3623   15.7591   16.9097   -6.7346   1.1779   1.7567   1.8762
1.6596   1098.404   10009.7137   5.2475   4.0392   1.4034   15.8987   17.1238   -6.5206   1.1909   0.6359   0.9769
1.8298   1212.863   10237.9616   5.4818   4.1798   1.4426   16.0295   17.3277   -6.3166   1.2016   0.7772   1.1145
2.0   1296.2173   10460.5443   5.6393   4.3032   1.4799   16.1436   17.4499   -6.1944   1.2029   0.9125   1.2619
